rep,id,rho,K,kappa1,kappa2,theta,X0,Y0
8,10,0.0539973,9.99735e+08,5.98652e-09,3.52792e-11,1.00039e-05,1.29991e+08,6.98618e+06
9,10,0.0514284,9.99994e+08,6.00392e-09,3.32548e-11,9.99394e-06,1.30015e+08,6.96117e+06
10,10,0.053522,1.00003e+09,5.9928e-09,3.44196e-11,9.99669e-06,1.30071e+08,6.99108e+06
1,11,0.051154,9.99965e+08,5.97936e-09,1.87525e-11,1.00044e-05,1.30032e+08,6.96402e+06
2,11,0.0503645,9.9964e+08,5.99587e-09,1.81401e-11,9.9969e-06,1.30051e+08,6.97386e+06
3,11,0.0472888,9.99996e+08,5.99347e-09,1.30921e-11,9.99444e-06,1.30068e+08,6.9529e+06
4,11,0.0489332,9.99974e+08,5.99646e-09,1.52368e-11,1.00071e-05,1.30007e+08,6.99056e+06
5,11,0.0485343,9.99803e+08,5.99636e-09,1.5945e-11,9.99379e-06,1.30006e+08,6.96391e+06
6,11,0.0473573,1.00004e+09,5.9895e-09,1.41397e-11,9.99678e-06,1.29996e+08,6.96753e+06
7,11,0.0500141,1.00018e+09,5.99021e-09,1.83183e-11,9.99814e-06,1.30022e+08,6.98497e+06
8,11,0.0497637,9.99747e+08,5.99269e-09,1.71847e-11,9.9987e-06,1.3002e+08,6.98311e+06
9,11,0.0489872,1.00003e+09,5.98118e-09,1.47414e-11,9.99714e-06,1.29997e+08,6.98572e+06
10,11,0.0475271,9.99651e+08,5.9891e-09,1.37091e-11,9.99594e-06,1.29999e+08,6.96423e+06
1,12,0.0332438,1.00048e+09,5.98822e-09,5.8079e-11,9.99339e-06,1.29984e+08,6.97776e+06
2,12,0.0328165,9.99854e+08,5.98018e-09,5.75975e-11,1.00017e-05,1.30067e+08,6.95841e+06
3,12,0.0355714,1.00015e+09,5.97849e-09,6.12247e-11,1.00038e-05,1.30036e+08,7.00036e+06
4,12,0.0330172,1.00026e+09,5.97646e-09,5.86088e-11,9.99752e-06,1.30057e+08,6.97803e+06
5,12,0.0330935,9.99882e+08,5.99144e-09,5.85783e-11,1.00031e-05,1.29985e+08,6.98475e+06
6,12,0.0335129,9.99951e+08,5.99999e-09,5.87056e-11,1.00036e-05,1.30006e+08,6.97366e+06
7,12,0.0307537,9.99739e+08,5.9869e-09,5.29017e-11,9.99879e-06,1.30044e+08,6.98919e+06
8,12,0.0324749,9.99837e+08,5.98699e-09,5.52566e-11,1.00021e-05,1.29985e+08,6.96918e+06
9,12,0.0334798,1.00001e+09,5.98703e-09,5.67032e-11,9.99326e-06,1.30017e+08,6.96894e+06
10,12,0.0347216,1.00009e+09,5.99004e-09,6.22346e-11,1.00043e-05,1.3004e+08,6.9648e+06
1,13,0.0919388,1.00025e+09,5.99025e-09,3.08831e-11,1.00072e-05,1.30047e+08,6.96911e+06
2,13,0.088609,1.00011e+09,5.98888e-09,3.25828e-11,9.99688e-06,1.30047e+08,6.97329e+06
3,13,0.087554,9.99961e+08,5.9836e-09,3.13263e-11,9.99312e-06,1.30037e+08,6.98219e+06
4,13,0.088557,9.99988e+08,5.99522e-09,3.22626e-11,1.00044e-05,1.29999e+08,6.96227e+06
5,13,0.0940897,1.00012e+09,5.9837e-09,3.138e-11,1.00031e-05,1.30025e+08,6.98878e+06
6,13,0.0915727,1.00016e+09,5.98972e-09,3.21859e-11,1.00009e-05,1.29986e+08,6.97014e+06
