rep,id,eta_rho,eta_K,eta_kappa1,eta_kappa2,eta_theta,eta_X0,eta_Y0
10,7,-0.119498,-0.000150119,8.84714e-05,-1.15093e-11,0.000310152,4.80942e-05,-0.00152454
1,8,0.32537,-0.000202836,-0.00110068,-4.04524e-13,0.000180814,-0.000226676,0.00292746
2,8,0.351293,-6.60667e-05,-1.30075e-05,-8.83487e-13,-0.000305939,-0.00010992,-0.00105345
3,8,0.309517,-0.000118259,0.000102272,4.63152e-13,-0.000646059,0.000164555,0.0050568
4,8,0.298011,2.10892e-05,-0.000639259,0,-0.000335778,-0.000304012,-0.000152699
5,8,0.36518,3.59922e-05,-0.00117906,-1.73323e-12,2.55417e-05,-5.62402e-05,0.00162418
6,8,0.339619,-0.000244021,0.00231669,-1.15074e-12,0.000977495,0.000124577,-0.00210422
7,8,0.28747,9.3662e-05,0.000712136,-1.97679e-12,0.000303213,0.000148382,8.97642e-05
8,8,0.287252,0.000306036,-0.00071414,-1.33768e-13,-0.000750159,-4.98935e-05,0.00151932
9,8,0.284329,6.26449e-05,-0.000351553,-1.37126e-12,-7.45786e-06,-0.000320227,-0.00260662
10,8,0.311629,-7.17273e-05,-0.000497164,-9.82119e-13,-0.000421576,-5.46545e-05,-0.00023826
1,9,0.16598,-0.000171651,-7.92982e-05,-3.41071e-12,-0.000382497,-3.06805e-05,-0.00123012
2,9,0.187737,0.000167417,-0.000546037,-4.2675e-12,0.00014783,0.00014876,-0.00126759
3,9,0.152534,-0.00041641,-0.000430198,-3.30121e-12,0.000339183,5.00289e-05,0.00264975
4,9,0.167308,4.62991e-05,-0.000406637,-3.10925e-12,-0.000550197,0.000364029,-0.000215602
5,9,0.213485,-0.000173223,0.00102172,-3.60762e-12,-0.000378534,-7.78896e-05,2.99102e-05
6,9,0.153373,0.000161743,4.93109e-05,-3.80269e-12,-0.000558963,7.25493e-05,0.00156324
7,9,0.157494,5.3012e-05,-0.00113405,-3.55979e-12,0.000258747,0.000163684,0.0011866
8,9,0.164408,2.05029e-05,3.86982e-05,-3.71286e-12,-8.26298e-05,-0.000321236,-0.00121341
9,9,0.164024,-2.14658e-05,0.000897313,-4.14845e-12,0.000335371,0.000305408,0.00117747
10,9,0.19008,-0.00010044,-0.00146875,-4.12492e-12,-0.00012799,-0.000110189,0.000358572
1,10,-0.100648,1.86285e-05,0.000879509,3.9687e-12,2.54718e-05,-6.01736e-05,0.000990373
2,10,-0.0240042,0.000129305,0.000265338,4.54206e-12,0.000283846,-0.000150525,0.000731054
3,10,-0.0735198,3.3757e-05,0.000583223,2.28144e-12,-0.000632701,-1.62175e-05,-0.00228839
