rep,id,rP,nC,e,KP,rTA,Kr,KA,lTA,kA,lTN,rN,km,kb,KN,nP0,nTA0,nTN0,nN0
2,3,0.0864842,11091.6,15.3995,8.31472,1.31858,322.329,0.000245814,0.112809,0.291506,0.104999,0.0914144,4.08012e-05,16.2016,9292.64,2200.24,50.0022,16.5,18.5622
3,3,0.00231195,2690.54,33.4958,0.0657353,2.50248,51.6066,52.6327,0.11284,0.756627,0.104971,0.0955522,2.91542e-06,24.0596,9491.87,2200.24,49.9993,16.5002,18.999
4,3,0.393773,428.033,69.3776,12.8852,5.62948,12.6261,83.5682,0.112833,1.86539,0.104983,0.149335,1.39195e-05,17.4681,5437.16,2200.24,50.0025,16.5001,22.9645
5,3,0.0014921,444.264,57.7878,2.01082,4.41661,57.6521,0.00201778,0.112817,1.23237,0.10498,0.157745,0.0276873,6.5223,8280.06,2200.24,49.9988,16.5,21.1729
6,3,0.0107599,1135.4,18.935,9.91671,1.39875,77.7878,190.841,0.112834,0.466694,0.104994,0.106455,1.18375e-05,12.6453,5002.39,2200.24,50.0028,16.5001,20.3811
7,3,0.0864842,11224.2,15.4018,8.42421,1.31853,322.34,0.000233737,0.112833,0.291438,0.104981,0.0915339,7.76094e-05,15.5717,9333.64,2200.24,50.0033,16.4999,18.6565
8,3,0.00188142,3543.58,33.5296,0.0580884,2.50378,51.4545,52.3455,0.112803,0.756683,0.104989,0.0948795,1.47668e-06,26.7685,8370.28,2200.24,49.9996,16.4999,19.1384
9,3,0.393773,428.033,69.4097,12.9416,5.63064,12.5744,83.3147,0.11284,1.86631,0.104963,0.148116,7.13645e-07,18.3631,5307.37,2200.24,50.003,16.5001,22.9375
10,3,0.00225295,477.199,57.7784,2.14851,4.41621,57.6678,0.00444232,0.112814,1.23237,0.104988,0.156288,0.0287228,6.49321,8238.74,2200.24,50,16.5001,20.4993
1,4,0.0476802,1595.94,13.1921,30.3247,0.866692,18.6938,12.3995,0.114684,0.284146,0.0855604,0.103532,7.13384e-05,5.81363,11781.5,2200.25,49.9982,16.4999,19.5105
