rep,id,eta_r,eta_K,eta_p,eta_T50,eta_h,eta_l,eta_delta_ef,eta_delta_m,eta_kappa,eta_Cef50,eta_q,eta_T0,eta_Cef0,eta_Cm0
3,P8,0.19796,0.0150711,-0.378787,0.268316,0.375537,-0.470812,-0.929431,0.329522,0.0871976,-0.10144,-2.47976,-0.0503895,0.125505,-3.4372
4,P8,0.322931,-3.03472,-0.00662587,0.203264,0.323236,0.66814,0.0722721,-0.498885,0.0709619,-1.30841,0.775478,-0.0658821,-1.64923,4.71509
5,P8,0.0713267,-1.01326,-0.185177,0.183247,-1.36282,0.186463,-0.190962,0.0379495,0.0489951,-0.87894,1.07642,-0.103257,2.41383,0.0188298
6,P8,-0.185143,0.423587,-0.300637,-0.338715,-0.467566,0.377689,0.565321,0.982962,0.288207,0.0718793,-2.05721,-0.315595,3.4147,0.0805806
7,P8,-0.134901,0.305312,0.249333,0.245598,0.291095,0.921266,0.0872591,-0.133067,-0.0870965,-2.15658,-3.08626,-0.108153,1.97915,-1.80753
8,P8,-0.303482,1.04436,-0.0612811,0.00149732,0.31941,0.718022,0.395691,-0.404873,0.276263,-1.21444,5.41572,0.0303015,1.85925,-1.9887
9,P8,-0.271141,-1.05167,-0.223739,0.562588,-0.433106,0.0495022,0.303283,0.276584,-0.194463,-0.0670684,-1.03927,0.204828,2.65506,-1.60157
10,P8,0.208815,-0.241932,-0.313521,0.18601,0.718563,0.932442,-0.140497,0.243789,0.264154,-1.18174,4.62866,0.264988,-3.84974,-0.851599
1,P9,-0.285286,-0.634986,-0.0184663,0.198289,-0.258147,0.27637,-0.52167,-1.11006,0.316688,-0.016438,-1.76575,0.176034,-0.874917,-0.768908
2,P9,0.555883,0.151168,-0.00770977,-0.0812728,1.16945,0.244026,-0.398802,-0.638265,-0.246692,-2.07074,-2.61474,-0.103352,-0.0784553,-0.203206
3,P9,0.1022,-1.94744,-0.136293,0.448387,0.153134,0.538214,0.018481,0.103259,-0.0997709,0.055524,0.371433,-0.0107935,-1.67541,-1.51919
4,P9,-0.377005,0.122765,-0.101692,-0.0477753,-0.789096,-1.35701,-0.155957,-0.48487,-0.167846,0.9407,-0.817183,-0.405676,-1.54924,1.81808
5,P9,-0.310229,2.89049,-0.345128,0.041818,-0.775868,-0.593898,0.0270507,0.321537,0.0766202,0.0255596,1.19921,0.25644,-1.5182,-1.6553
6,P9,0.143484,1.07164,0.425269,0.551459,-0.207256,0.00243007,-0.191837,-0.20348,0.240395,1.18976,0.836754,-0.0685687,3.02305,1.28586
7,P9,0.431882,1.22108,0.248758,0.420179,-0.262499,0.0145703,0.173941,-0.644331,-0.272327,-0.340321,0.83163,-0.0461672,0.436455,-0.705944
8,P9,0.131586,-1.4043,-0.185574,-0.324821,0.478797,-0.382768,-0.402067,0.532398,0.272068,-1.20289,2.82402,0.42303,-1.19066,-3.44183
9,P9,1.00753,1.10128,-0.380382,-0.0129164,-0.655309,0.635264,-0.0573421,0.238985,0.322239,-0.189359,-5.23247,-0.202703,-3.61898,4.8297
10,P9,-0.232744,-0.557968,0.0241697,0.221112,0.632163,0.420214,0.683601,-0.0381793,-0.104777,0.639945,-1.80259,0.122924,-1.40583,-1.04294
1,P10,0.518086,0.549336,-0.206219,-0.103004,0.36654,0.529699,0.414066,-0.31165,-0.105067,1.07379,0.336431,-0.425956,-0.0815395,-0.503125
2,P10,-0.0973322,1.20583,0.037812,0.015763,-0.729296,0.596066,0.457803,-0.392396,0.0542011,1.68397,-0.576336,0.0379744,4.00314,-0.98955
3,P10,-0.516618,-2.55162,0.13562,0.343252,0.45072,1.04765,-0.714195,-1.14615,0.174245,1.4702,-2.05976,0.393324,2.22842,0.0278443
4,P10,0.420242,0.568318,0.0788309,-0.00333304,0.531752,0.08339,0.131146,-0.654373,0.127375,1.99325,0.812597,-0.635969,-0.354987,0.0960195
5,P10,0.0581846,2.14628,-0.0633551,0.307764,0.251228,0.992209,0.0734138,-0.557671,-0.269161,0.863148,2.60404,-0.0623757,4.67888,1.47755
6,P10,0.747635,-2.03263,-0.106371,0.156336,-0.0898169,0.483869,0.396868,-0.601487,-0.0495433,0.286203,-0.237984,0.294896,-3.88124,-0.076605
7,P10,0.568909,-1.64621,-0.376137,-0.421226,-2.07976,0.576371,0.123067,-0.0587208,0.263493,1.82373,0.621123,-0.221313,0.558812,1.97008
8,P10,0.500217,1.47045,-0.139849,-0.244997,-0.257225,0.7292,-0.0696882,-0.0683516,0.0776102,1.10126,0.255772,-0.205624,-1.94108,1.52294
9,P10,0.201819,0.0145052,-0.212314,-0.143673,0.840042,0.599403,-0.202926,-0.00508218,-0.126268,0.816925,-1.39488,0.10653,1.3095,-0.363525
10,P10,0.16977,1.14817,-0.0349585,-0.412516,0.544538,-0.733336,0.0387334,-0.809045,0.211485,0.515249,-2.03233,0.258828,-0.561135,-3.83341
1,P5,-0.137365,0.355713,0.345608,0.521947,-0.248869,0.267956,0.116169,0.354556,0.0462532,1.27646,1.5243,-0.37563,3.60436,-0.594337
2,P5,0.466995,-0.54707,0.211571,0.437654,0.603691,0.845048,0.260936,0.59817,-0.0545823,0.315848,-0.792023,-0.215464,-3.90467,1.74048
3,P5,0.408394,-0.103827,-0.1293,0.141855,0.00217307,0.312088,-0.251384,0.0388659,-0.112065,1.05957,-0.549437,-0.256197,3.01512,0.824091
4,P5,0.623928,-2.73907,0.175772,0.208088,0.389883,-0.0391407,0.382053,-0.0668296,-0.255276,0.0978119,-0.299533,-0.00769608,-2.58296,-3.62924
5,P5,0.679206,1.38478,-0.317299,0.019656,0.494901,0.113929,0.366999,0.226834,-0.0754838,-0.436996,3.03952,-0.16944,-2.76908,-2.62932
6,P5,-0.178232,-1.14004,0.330059,0.159906,-0.82958,1.42488,-0.0528306,-1.03894,0.0488564,-0.027206,-2.1631,0.129853,0.960471,-1.46377
7,P5,-0.0912114,-1.63443,0.331788,0.619419,-0.175998,1.0258,0.20766,-0.947789,0.318049,1.22981,0.119097,0.341156,-0.73487,-2.2566
8,P5,0.382337,-1.28228,-0.183615,-0.211259,0.00910178,-0.285279,0.332585,-0.209988,-0.123142,0.744772,-0.506356,-0.566901,0.567299,0.806066
9,P5,0.649106,0.0881841,-0.0380199,0.583212,0.313882,0.742941,0.144155,-0.133381,0.0647537,0.225651,0.758683,0.386533,0.506271,-5.23699
10,P5,0.0862614,0.306162,-0.0455464,0.654614,0.363233,-0.661576,-0.395274,-0.520154,-0.174647,0.62766,-3.16467,0.346921,-8.05725,-2.14906
